전철역코드,전철역명,호선,상하행
150,서울역,1,0
150,서울역,1,1
151,시청,1,0
151,시청,1,1
152,종각,1,0
152,종각,1,1
153,종로3가,1,0
153,종로3가,1,1
154,종로5가,1,0
154,종로5가,1,1
155,동대문,1,0
155,동대문,1,1
156,신설동,1,0
156,신설동,1,1
157,제기동,1,0
157,제기동,1,1
158,청량리,1,0
158,청량리,1,1
159,동묘앞,1,0
159,동묘앞,1,1
1002,남영,1,0
1002,남영,1,1
1003,용산,1,0
1003,용산,1,1
1004,노량진,1,0
1004,노량진,1,1
1005,대방,1,0
1005,대방,1,1
1006,영등포,1,0
1006,영등포,1,1
1007,신도림,1,0
1007,신도림,1,1
1015,회기,1,0
1015,회기,1,1
1016,외대앞,1,0
1016,외대앞,1,1
1017,신이문,1,0
1017,신이문,1,1
1018,석계,1,0
1018,석계,1,1
1019,광운대,1,0
1019,광운대,1,1
1020,월계,1,0
1020,월계,1,1
1021,녹천,1,0
1021,녹천,1,1
1022,창동,1,0
1022,창동,1,1
1032,신길,1,0
1032,신길,1,1
1701,구로,1,0
1701,구로,1,1
1801,개봉,1,0
1801,개봉,1,1
1802,오류동,1,0
1802,오류동,1,1
1803,역곡,1,0
1803,역곡,1,1
1804,부천,1,0
1804,부천,1,1
1805,송내,1,0
1805,송내,1,1
1806,부평,1,0
1806,부평,1,1
1807,백운,1,0
1807,백운,1,1
1808,동암,1,0
1808,동암,1,1
1809,주안,1,0
1809,주안,1,1
1810,제물포,1,0
1810,제물포,1,1
1811,동인천,1,0
1811,동인천,1,1
1812,인천,1,0
1812,인천,1,1
1813,구일,1,0
1813,구일,1,1
1814,소사,1,0
1814,소사,1,1
1815,부개,1,0
1815,부개,1,1
1816,간석,1,0
1816,간석,1,1
1817,도원,1,0
1817,도원,1,1
1821,온수,1,0
1821,온수,1,1
1822,중동,1,0
1822,중동,1,1
1823,도화,1,0
1823,도화,1,1
1901,방학,1,0
1901,방학,1,1
1902,도봉,1,0
1902,도봉,1,1
1903,도봉산,1,0
1903,도봉산,1,1
1904,망월사,1,0
1904,망월사,1,1
1905,회룡,1,0
1905,회룡,1,1
1906,의정부,1,0
1906,의정부,1,1
1907,가능,1,0
1907,가능,1,1
1908,녹양,1,0
1908,녹양,1,1
1909,양주,1,0
1909,양주,1,1
1910,덕계,1,0
1910,덕계,1,1
1911,덕정,1,0
1911,덕정,1,1
1912,지행,1,0
1912,지행,1,1
1913,동두천중앙,1,0
1913,동두천중앙,1,1
1914,보산,1,0
1914,보산,1,1
1915,동두천,1,0
1915,동두천,1,1
1916,소요산,1,0
1916,소요산,1,1
201,시청,2,2
201,시청,2,3
202,을지로입구,2,2
202,을지로입구,2,3
203,을지로3가,2,2
203,을지로3가,2,3
204,을지로4가,2,2
204,을지로4가,2,3
205,동대문역사문화공원,2,2
205,동대문역사문화공원,2,3
206,신당,2,2
206,신당,2,3
207,상왕십리,2,2
207,상왕십리,2,3
208,왕십리,2,2
208,왕십리,2,3
209,한양대,2,2
209,한양대,2,3
210,뚝섬,2,2
210,뚝섬,2,3
211,성수,2,2
211,성수,2,3
212,건대입구,2,2
212,건대입구,2,3
213,구의,2,2
213,구의,2,3
214,강변,2,2
214,강변,2,3
215,잠실나루,2,2
215,잠실나루,2,3
216,잠실,2,2
216,잠실,2,3
217,잠실새내,2,2
217,잠실새내,2,3
218,종합운동장,2,2
218,종합운동장,2,3
219,삼성,2,2
219,삼성,2,3
220,선릉,2,2
220,선릉,2,3
221,역삼,2,2
221,역삼,2,3
222,강남,2,2
222,강남,2,3
223,교대,2,2
223,교대,2,3
224,서초,2,2
224,서초,2,3
225,방배,2,2
225,방배,2,3
226,사당,2,2
226,사당,2,3
227,낙성대,2,2
227,낙성대,2,3
228,서울대입구,2,2
228,서울대입구,2,3
229,봉천,2,2
229,봉천,2,3
230,신림,2,2
230,신림,2,3
231,신대방,2,2
231,신대방,2,3
232,구로디지털단지,2,2
232,구로디지털단지,2,3
233,대림,2,2
233,대림,2,3
234,신도림,2,2
234,신도림,2,3
235,문래,2,2
235,문래,2,3
236,영등포구청,2,2
236,영등포구청,2,3
237,당산,2,2
237,당산,2,3
238,합정,2,2
238,합정,2,3
239,홍대입구,2,2
239,홍대입구,2,3
240,신촌(지하),2,2
240,신촌(지하),2,3
241,이대,2,2
241,이대,2,3
242,아현,2,2
242,아현,2,3
243,충정로,2,2
243,충정로,2,3
9001,성수,2,2
9001,성수,2,3
309,지축,3,0
309,지축,3,1
310,구파발,3,0
310,구파발,3,1
311,연신내,3,0
311,연신내,3,1
312,불광,3,0
312,불광,3,1
313,녹번,3,0
313,녹번,3,1
314,홍제,3,0
314,홍제,3,1
315,무악재,3,0
315,무악재,3,1
316,독립문,3,0
316,독립문,3,1
317,경복궁,3,0
317,경복궁,3,1
318,안국,3,0
318,안국,3,1
319,종로3가,3,0
319,종로3가,3,1
