호선,역명,위도,경도
1호선,탕정,36.788250,127.084417
1호선,독산,37.465944,126.889500
1호선,신이문,37.598611,127.068611
1호선,석계,37.614720,127.065280
1호선,배방,36.777655,127.052956
1호선,송탄,37.080051,127.049814
1호선,두정,36.833992,127.149186
1호선,대방,37.513809,126.925924
1호선,세류,37.244111,127.013722
1호선,병점,37.206611,127.032352
1호선,오산대,37.168082,127.063089
1호선,광명,37.416436,126.884875
1호선,역곡,37.485258,126.859932
1호선,신도림,37.508844,126.891145
1호선,안양,37.401592,126.922874
1호선,회기,37.589066,127.057200
1호선,명학,37.384653,126.935733
1호선,부천,37.484122,126.782789
1호선,남영,37.541021,126.971300
1호선,구로,37.503039,126.881966
1호선,평택,36.990048,127.085290
1호선,성환,36.915790,127.127008
1호선,부평,37.489121,126.724447
1호선,백운,37.491091,126.724267
1호선,제물포,37.469598,126.656705
1호선,동인천,37.476538,126.632703
1호선,도원,37.468360,126.642773
1호선,중동,37.486947,126.764559
1호선,도화,37.466117,126.668264
1호선,창동,37.653740,127.047500
1호선,신창,36.769653,126.951081
1호선,가산디지털단지,37.481441,126.882654
1호선,금천구청,37.455652,126.894023
1호선,석수,37.435166,126.902246
1호선,성균관대,37.300352,126.970868
1호선,수원,37.266405,126.999944
1호선,평택지제,36.991964,127.112245
1호선,봉명,36.801430,127.135934
1호선,아산,36.780294,127.045712
1호선,용산,37.529653,126.964437
1호선,노량진,37.514079,126.941690
1호선,외대앞,37.596166,127.063589
1호선,광운대,37.623840,127.061679
1호선,월계,37.633125,127.058854
1호선,신길,37.517026,126.917757
1호선,쌍용,36.793573,127.119161
1호선,영등포,37.515768,126.907425
1호선,온양온천,36.780014,127.002817
1호선,당정,37.343254,126.948462
1호선,망월사,37.710504,127.047376
1호선,녹천,37.644608,127.051423
1호선,의왕,37.320661,126.948116
1호선,서정리,37.056496,127.052819
1호선,구일,37.496284,126.869620
1호선,도봉산,37.689598,127.046067
1호선,세마,37.187500,127.043330
1호선,천안,36.815580,127.113133
1호선,관악,37.419591,126.908494
1호선,직산,36.870273,127.126539
1호선,오류동,37.494411,126.844566
1호선,부개,37.488492,126.740570
1호선,온수,37.492274,126.823418
1호선,군포,37.353743,126.948536
1호선,화서,37.283996,126.989596
1호선,송내,37.487634,126.753057
1호선,인천,37.476380,126.616954
1호선,소사,37.482768,126.795674
1호선,간석,37.464698,126.693425
1호선,동두천중앙,37.901681,127.056427
1호선,소요산,38.103708,127.062106
1호선,전곡,38.031374,127.057136
1호선,개봉,37.494708,126.858516
1호선,도봉,37.679448,127.045539
1호선,가능,37.748366,127.044270
1호선,청산,38.075220,127.064575
1호선,금정,37.372223,126.943424
1호선,동암,37.470885,126.702904
1호선,연천,38.099686,127.074361
1호선,오산,37.145481,127.066723
1호선,서동탄,37.195681,127.051902
1호선,주안,37.465044,126.679967
1호선,덕계,37.818773,127.056699
1호선,동두천,37.927572,127.054846
1호선,방학,37.667482,127.044309
1호선,덕정,37.843219,127.061535
1호선,보산,37.914273,127.057154
1호선,회룡,37.724046,127.047339
1호선,의정부,37.737369,127.046129
1호선,녹양,37.759424,127.042289
1호선,양주,37.774293,127.044743
1호선,지행,37.892368,127.055762
1호선,서울역,37.555923,126.972269
1호선,진위,37.109780,127.062356
1호선,서울,37.55315,126.972533
1호선,시청,37.56359,126.975407
1호선,종각,37.570203,126.983116
1호선,종로3가,37.570429,126.992095
1호선,종로5가,37.570971,127.0019
1호선,동대문,37.57179,127.011383
1호선,동묘앞,37.573265,127.016459
1호선,신설동,37.576117,127.02471
1호선,제기동,37.578116,127.034902
1호선,청량리,37.580148,127.045063
2호선,을지로입구,37.565998,126.982569
2호선,을지로3가,37.566292,126.991773
2호선,을지로4가,37.566611,126.998122
2호선,동대문역사문화공원,37.565597,127.009113
2호선,신당,37.565681,127.019488
2호선,상왕십리,37.564504,127.028872
2호선,왕십리,37.561159,127.035505
2호선,한양대,37.55658,127.043504
2호선,뚝섬,37.54718,127.047413
2호선,성수,37.544628,127.055983
2호선,건대입구,37.540408,127.069231
2호선,구의,37.536857,127.085024
2호선,강변,37.535161,127.094684
2호선,잠실나루,37.520688,127.103836
2호선,잠실,37.513305,127.100129
2호선,잠실새내,37.520731,127.103738
2호선,종합운동장,37.511008,127.073641
2호선,삼성,37.508827,127.063203
2호선,선릉,37.504257,127.048174
2호선,역삼,37.500658,127.03643
2호선,강남,37.497958,127.027539
2호선,교대,37.493957,127.014631
2호선,서초,37.49191,127.007945
2호선,방배,37.481469,126.997627
2호선,사당,37.476536,126.981631
2호선,낙성대,37.47693,126.963783
2호선,서울대입구,37.481233,126.952745
2호선,봉천,37.482416,126.941896
2호선,신림,37.484216,126.929573
2호선,신대방,37.487534,126.913279
2호선,구로디지털단지,37.485005,126.902626
2호선,대림,37.492426,126.895293
2호선,신도림,37.508815,126.891222
2호선,문래,37.517993,126.894766
